DateKey,FullDate,Year,Quarter,Month,MonthName,Week,DayOfWeek,DayName,IsWeekend
20240505,2024-05-05,2024,2,5,May,18,7,Sunday,true
20240506,2024-05-06,2024,2,5,May,19,1,Monday,false
20240507,2024-05-07,2024,2,5,May,19,2,Tuesday,false
20240508,2024-05-08,2024,2,5,May,19,3,Wednesday,false
20240509,2024-05-09,2024,2,5,May,19,4,Thursday,false
20240510,2024-05-10,2024,2,5,May,19,5,Friday,false
20240511,2024-05-11,2024,2,5,May,19,6,Saturday,true
20240512,2024-05-12,2024,2,5,May,19,7,Sunday,true
20240513,2024-05-13,2024,2,5,May,20,1,Monday,false
20240514,2024-05-14,2024,2,5,May,20,2,Tuesday,false
20240515,2024-05-15,2024,2,5,May,20,3,Wednesday,false
20240516,2024-05-16,2024,2,5,May,20,4,Thursday,false
20240517,2024-05-17,2024,2,5,May,20,5,Friday,false
20240518,2024-05-18,2024,2,5,May,20,6,Saturday,true
20240519,2024-05-19,2024,2,5,May,20,7,Sunday,true
20240520,2024-05-20,2024,2,5,May,21,1,Monday,false
20240521,2024-05-21,2024,2,5,May,21,2,Tuesday,false
20240522,2024-05-22,2024,2,5,May,21,3,Wednesday,false
20240523,2024-05-23,2024,2,5,May,21,4,Thursday,false
20240524,2024-05-24,2024,2,5,May,21,5,Friday,false
20240525,2024-05-25,2024,2,5,May,21,6,Saturday,true
20240526,2024-05-26,2024,2,5,May,21,7,Sunday,true
20240527,2024-05-27,2024,2,5,May,22,1,Monday,false
20240528,2024-05-28,2024,2,5,May,22,2,Tuesday,false
20240529,2024-05-29,2024,2,5,May,22,3,Wednesday,false
20240530,2024-05-30,2024,2,5,May,22,4,Thursday,false
20240531,2024-05-31,2024,2,5,May,22,5,Friday,false
20240601,2024-06-01,2024,2,6,June,22,6,Saturday,true
20240602,2024-06-02,2024,2,6,June,22,7,Sunday,true
20240603,2024-06-03,2024,2,6,June,23,1,Monday,false
20240604,2024-06-04,2024,2,6,June,23,2,Tuesday,false
20240605,2024-06-05,2024,2,6,June,23,3,Wednesday,false
20240606,2024-06-06,2024,2,6,June,23,4,Thursday,false
20240607,2024-06-07,2024,2,6,June,23,5,Friday,false
20240608,2024-06-08,2024,2,6,June,23,6,Saturday,true
20240609,2024-06-09,2024,2,6,June,23,7,Sunday,true
20240610,2024-06-10,2024,2,6,June,24,1,Monday,false
20240611,2024-06-11,2024,2,6,June,24,2,Tuesday,false
20240612,2024-06-12,2024,2,6,June,24,3,Wednesday,false
20240613,2024-06-13,2024,2,6,June,24,4,Thursday,false
20240614,2024-06-14,2024,2,6,June,24,5,Friday,false
20240615,2024-06-15,2024,2,6,June,24,6,Saturday,true
20240616,2024-06-16,2024,2,6,June,24,7,Sunday,true
20240617,2024-06-17,2024,2,6,June,25,1,Monday,false
20240618,2024-06-18,2024,2,6,June,25,2,Tuesday,false
20240619,2024-06-19,2024,2,6,June,25,3,Wednesday,false
20240620,2024-06-20,2024,2,6,June,25,4,Thursday,false
20240621,2024-06-21,2024,2,6,June,25,5,Friday,false
20240622,2024-06-22,2024,2,6,June,25,6,Saturday,true
20240623,2024-06-23,2024,2,6,June,25,7,Sunday,true
20240624,2024-06-24,2024,2,6,June,26,1,Monday,false
20240625,2024-06-25,2024,2,6,June,26,2,Tuesday,false
20240626,2024-06-26,2024,2,6,June,26,3,Wednesday,false
20240627,2024-06-27,2024,2,6,June,26,4,Thursday,false
20240628,2024-06-28,2024,2,6,June,26,5,Friday,false
20240629,2024-06-29,2024,2,6,June,26,6,Saturday,true
20240630,2024-06-30,2024,2,6,June,26,7,Sunday,true
20240701,2024-07-01,2024,3,7,July,27,1,Monday,false
20240702,2024-07-02,2024,3,7,July,27,2,Tuesday,false
20240703,2024-07-03,2024,3,7,July,27,3,Wednesday,false
20240704,2024-07-04,2024,3,7,July,27,4,Thursday,false
20240705,2024-07-05,2024,3,7,July,27,5,Friday,false
20240706,2024-07-06,2024,3,7,July,27,6,Saturday,true
20240707,2024-07-07,2024,3,7,July,27,7,Sunday,true
20240708,2024-07-08,2024,3,7,July,28,1,Monday,false
20240709,2024-07-09,2024,3,7,July,28,2,Tuesday,false
20240710,2024-07-10,2024,3,7,July,28,3,Wednesday,false
20240711,2024-07-11,2024,3,7,July,28,4,Thursday,false
20240712,2024-07-12,2024,3,7,July,28,5,Friday,false
20240713,2024-07-13,2024,3,7,July,28,6,Saturday,true
20240714,2024-07-14,2024,3,7,July,28,7,Sunday,true
20240715,2024-07-15,2024,3,7,July,29,1,Monday,false
20240716,2024-07-16,2024,3,7,July,29,2,Tuesday,false
20240717,2024-07-17,2024,3,7,July,29,3,Wednesday,false
20240718,2024-07-18,2024,3,7,July,29,4,Thursday,false
20240719,2024-07-19,2024,3,7,July,29,5,Friday,false
20240720,2024-07-20,2024,3,7,July,29,6,Saturday,true
20240721,2024-07-21,2024,3,7,July,29,7,Sunday,true
20240722,2024-07-22,2024,3,7,July,30,1,Monday,false
20240723,2024-07-23,2024,3,7,July,30,2,Tuesday,false
20240724,2024-07-24,2024,3,7,July,30,3,Wednesday,false
20240725,2024-07-25,2024,3,7,July,30,4,Thursday,false
20240726,2024-07-26,2024,3,7,July,30,5,Friday,false
20240727,2024-07-27,2024,3,7,July,30,6,Saturday,true
20240728,2024-07-28,2024,3,7,July,30,7,Sunday,true
20240729,2024-07-29,2024,3,7,July,31,1,Monday,false
20240730,2024-07-30,2024,3,7,July,31,2,Tuesday,false
20240731,2024-07-31,2024,3,7,July,31,3,Wednesday,false
20240801,2024-08-01,2024,3,8,August,31,4,Thursday,false
20240802,2024-08-02,2024,3,8,August,31,5,Friday,false
20240803,2024-08-03,2024,3,8,August,31,6,Saturday,true
20240804,2024-08-04,2024,3,8,August,31,7,Sunday,true
20240805,2024-08-05,2024,3,8,August,32,1,Monday,false
20240806,2024-08-06,2024,3,8,August,32,2,Tuesday,false
20240807,2024-08-07,2024,3,8,August,32,3,Wednesday,false
20240808,2024-08-08,2024,3,8,August,32,4,Thursday,false
20240809,2024-08-09,2024,3,8,August,32,5,Friday,false
20240810,2024-08-10,2024,3,8,August,32,6,Saturday,true
20240811,2024-08-11,2024,3,8,August,32,7,Sunday,true
20240812,2024-08-12,2024,3,8,August,33,1,Monday,false
20240813,2024-08-13,2024,3,8,August,33,2,Tuesday,false
20240814,2024-08-14,2024,3,8,August,33,3,Wednesday,false
20240815,2024-08-15,2024,3,8,August,33,4,Thursday,false
20240816,2024-08-16,2024,3,8,August,33,5,Friday,false
20240817,2024-08-17,2024,3,8,August,33,6,Saturday,true
20240818,2024-08-18,2024,3,8,August,33,7,Sunday,true
20240819,2024-08-19,2024,3,8,August,34,1,Monday,false
20240820,2024-08-20,2024,3,8,August,34,2,Tuesday,false
20240821,2024-08-21,2024,3,8,August,34,3,Wednesday,false
20240822,2024-08-22,2024,3,8,August,34,4,Thursday,false
20240823,2024-08-23,2024,3,8,August,34,5,Friday,false
20240824,2024-08-24,2024,3,8,August,34,6,Saturday,true
20240825,2024-08-25,2024,3,8,August,34,7,Sunday,true
20240826,2024-08-26,2024,3,8,August,35,1,Monday,false
20240827,2024-08-27,2024,3,8,August,35,2,Tuesday,false
20240828,2024-08-28,2024,3,8,August,35,3,Wednesday,false
20240829,2024-08-29,2024,3,8,August,35,4,Thursday,false
20240830,2024-08-30,2024,3,8,August,35,5,Friday,false
20240831,2024-08-31,2024,3,8,August,35,6,Saturday,true
20240901,2024-09-01,2024,3,9,September,35,7,Sunday,true
20240902,2024-09-02,2024,3,9,September,36,1,Monday,false
20240903,2024-09-03,2024,3,9,September,36,2,Tuesday,false
20240904,2024-09-04,2024,3,9,September,36,3,Wednesday,false
20240905,2024-09-05,2024,3,9,September,36,4,Thursday,false
20240906,2024-09-06,2024,3,9,September,36,5,Friday,false
20240907,2024-09-07,2024,3,9,September,36,6,Saturday,true
20240908,2024-09-08,2024,3,9,September,36,7,Sunday,true
20240909,2024-09-09,2024,3,9,September,37,1,Monday,false
20240910,2024-09-10,2024,3,9,September,37,2,Tuesday,false
20240911,2024-09-11,2024,3,9,September,37,3,Wednesday,false
20240912,2024-09-12,2024,3,9,September,37,4,Thursday,false
20240913,2024-09-13,2024,3,9,September,37,5,Friday,false
20240914,2024-09-14,2024,3,9,September,37,6,Saturday,true
20240915,2024-09-15,2024,3,9,September,37,7,Sunday,true
20240916,2024-09-16,2024,3,9,September,38,1,Monday,false
20240917,2024-09-17,2024,3,9,September,38,2,Tuesday,false
20240918,2024-09-18,2024,3,9,September,38,3,Wednesday,false
20240919,2024-09-19,2024,3,9,September,38,4,Thursday,false
20240920,2024-09-20,2024,3,9,September,38,5,Friday,false
20240921,2024-09-21,2024,3,9,September,38,6,Saturday,true
20240922,2024-09-22,2024,3,9,September,38,7,Sunday,true
20240923,2024-09-23,2024,3,9,September,39,1,Monday,false
20240924,2024-09-24,2024,3,9,September,39,2,Tuesday,false
20240925,2024-09-25,2024,3,9,September,39,3,Wednesday,false
20240926,2024-09-26,2024,3,9,September,39,4,Thursday,false
20240927,2024-09-27,2024,3,9,September,39,5,Friday,false
20240928,2024-09-28,2024,3,9,September,39,6,Saturday,true
20240929,2024-09-29,2024,3,9,September,39,7,Sunday,true
20240930,2024-09-30,2024,3,9,September,40,1,Monday,false
20241001,2024-10-01,2024,4,10,October,40,2,Tuesday,false
20241002,2024-10-02,2024,4,10,October,40,3,Wednesday,false
20241003,2024-10-03,2024,4,10,October,40,4,Thursday,false
20241004,2024-10-04,2024,4,10,October,40,5,Friday,false
20241005,2024-10-05,2024,4,10,October,40,6,Saturday,true
20241006,2024-10-06,2024,4,10,October,40,7,Sunday,true
20241007,2024-10-07,2024,4,10,October,41,1,Monday,false
20241008,2024-10-08,2024,4,10,October,41,2,Tuesday,false
20241009,2024-10-09,2024,4,10,October,41,3,Wednesday,false
20241010,2024-10-10,2024,4,10,October,41,4,Thursday,false
20241011,2024-10-11,2024,4,10,October,41,5,Friday,false
20241012,2024-10-12,2024,4,10,October,41,6,Saturday,true
20241013,2024-10-13,2024,4,10,October,41,7,Sunday,true
20241014,2024-10-14,2024,4,10,October,42,1,Monday,false
20241015,2024-10-15,2024,4,10,October,42,2,Tuesday,false
20241016,2024-10-16,2024,4,10,October,42,3,Wednesday,false
20241017,2024-10-17,2024,4,10,October,42,4,Thursday,false
20241018,2024-10-18,2024,4,10,October,42,5,Friday,false
20241019,2024-10-19,2024,4,10,October,42,6,Saturday,true
20241020,2024-10-20,2024,4,10,October,42,7,Sunday,true
20241021,2024-10-21,2024,4,10,October,43,1,Monday,false
20241022,2024-10-22,2024,4,10,October,43,2,Tuesday,false
20241023,2024-10-23,2024,4,10,October,43,3,Wednesday,false
20241024,2024-10-24,2024,4,10,October,43,4,Thursday,false
20241025,2024-10-25,2024,4,10,October,43,5,Friday,false
20241026,2024-10-26,2024,4,10,October,43,6,Saturday,true
20241027,2024-10-27,2024,4,10,October,43,7,Sunday,true
20241028,2024-10-28,2024,4,10,October,44,1,Monday,false
20241029,2024-10-29,2024,4,10,October,44,2,Tuesday,false
20241030,2024-10-30,2024,4,10,October,44,3,Wednesday,false
20241031,2024-10-31,2024,4,10,October,44,4,Thursday,false
20241101,2024-11-01,2024,4,11,November,44,5,Friday,false
20241102,2024-11-02,2024,4,11,November,44,6,Saturday,true
20241103,2024-11-03,2024,4,11,November,44,7,Sunday,true
20241104,2024-11-04,2024,4,11,November,45,1,Monday,false
20241105,2024-11-05,2024,4,11,November,45,2,Tuesday,false
20241106,2024-11-06,2024,4,11,November,45,3,Wednesday,false
20241107,2024-11-07,2024,4,11,November,45,4,Thursday,false
20241108,2024-11-08,2024,4,11,November,45,5,Friday,false
20241109,2024-11-09,2024,4,11,November,45,6,Saturday,true
20241110,2024-11-10,2024,4,11,November,45,7,Sunday,true
20241111,2024-11-11,2024,4,11,November,46,1,Monday,false
20241112,2024-11-12,2024,4,11,November,46,2,Tuesday,false
20241113,2024-11-13,2024,4,11,November,46,3,Wednesday,false
20241114,2024-11-14,2024,4,11,November,46,4,Thursday,false
20241115,2024-11-15,2024,4,11,November,46,5,Friday,false
20241116,2024-11-16,2024,4,11,November,46,6,Saturday,true
20241117,2024-11-17,2024,4,11,November,46,7,Sunday,true
20241118,2024-11-18,2024,4,11,November,47,1,Monday,false
20241119,2024-11-19,2024,4,11,November,47,2,Tuesday,false
20241120,2024-11-20,2024,4,11,November,47,3,Wednesday,false
20241121,2024-11-21,2024,4,11,November,47,4,Thursday,false
20241122,2024-11-22,2024,4,11,November,47,5,Friday,false
20241123,2024-11-23,2024,4,11,November,47,6,Saturday,true
20241124,2024-11-24,2024,4,11,November,47,7,Sunday,true
20241125,2024-11-25,2024,4,11,November,48,1,Monday,false
20241126,2024-11-26,2024,4,11,November,48,2,Tuesday,false
20241127,2024-11-27,2024,4,11,November,48,3,Wednesday,false
20241128,2024-11-28,2024,4,11,November,48,4,Thursday,false
20241129,2024-11-29,2024,4,11,November,48,5,Friday,false
20241130,2024-11-30,2024,4,11,November,48,6,Saturday,true
20241201,2024-12-01,2024,4,12,December,48,7,Sunday,true
20241202,2024-12-02,2024,4,12,December,49,1,Monday,false
20241203,2024-12-03,2024,4,12,December,49,2,Tuesday,false
20241204,2024-12-04,2024,4,12,December,49,3,Wednesday,false
20241205,2024-12-05,2024,4,12,December,49,4,Thursday,false
20241206,2024-12-06,2024,4,12,December,49,5,Friday,false
20241207,2024-12-07,2024,4,12,December,49,6,Saturday,true
20241208,2024-12-08,2024,4,12,December,49,7,Sunday,true
20241209,2024-12-09,2024,4,12,December,50,1,Monday,false
20241210,2024-12-10,2024,4,12,December,50,2,Tuesday,false
20241211,2024-12-11,2024,4,12,December,50,3,Wednesday,false
20241212,2024-12-12,2024,4,12,December,50,4,Thursday,false
20241213,2024-12-13,2024,4,12,December,50,5,Friday,false
20241214,2024-12-14,2024,4,12,December,50,6,Saturday,true
20241215,2024-12-15,2024,4,12,December,50,7,Sunday,true
20241216,2024-12-16,2024,4,12,December,51,1,Monday,false
20241217,2024-12-17,2024,4,12,December,51,2,Tuesday,false
20241218,2024-12-18,2024,4,12,December,51,3,Wednesday,false
20241219,2024-12-19,2024,4,12,December,51,4,Thursday,false
20241220,2024-12-20,2024,4,12,December,51,5,Friday,false
20241221,2024-12-21,2024,4,12,December,51,6,Saturday,true
20241222,2024-12-22,2024,4,12,December,51,7,Sunday,true
20241223,2024-12-23,2024,4,12,December,52,1,Monday,false
20241224,2024-12-24,2024,4,12,December,52,2,Tuesday,false
20241225,2024-12-25,2024,4,12,December,52,3,Wednesday,false
20241226,2024-12-26,2024,4,12,December,52,4,Thursday,false
20241227,2024-12-27,2024,4,12,December,52,5,Friday,false
20241228,2024-12-28,2024,4,12,December,52,6,Saturday,true
20241229,2024-12-29,2024,4,12,December,52,7,Sunday,true
20241230,2024-12-30,2024,4,12,December,1,1,Monday,false
20241231,2024-12-31,2024,4,12,December,1,2,Tuesday,false
